ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE
19100062: Ward 62,312,426,932,2300,152,268.69628,478,645,2048,272,47.54854,71,133,384,44,754.5679,1694,2071,8328,2798,188,847,612,128,23,308,555,713,171,29,16,43,147,89,28,592,1306,3620,2703,649,1839.4867,127.08088,1694.84111,138.03243,315.87791,14.71017,6900.60984,233.72475,383.22601,79,604,967,930,76.08866,520.52711,166,860,796,664,90.67653,57.07343,7,77,119,310,8.21178,1217.44048,224,1765,3220,7180,472.44044,1769,2353,1817,1894,354,326,9887,5757,56,51,76,66
19100063: Ward 63,267,360,478,1651,133,1367.1744,2706,3182,10315,1618,69.16747,162,179,599,87,99.47572,196,334,1619,457,207,537,396,59,5,1627,2377,4362,900,63,83,115,276,63,6,259,524,737,126,22,1224.27627,206.65148,8405.96659,811.92304,479.44482,50.71601,1299.71873,113.54982,316.8029,77,543,747,598,84.7766,2368.31397,675,5065,5235,3456,504.90112,130.58534,42,198,300,297,33.03437,168.08741,50,797,856,527,151.94554,1319,1569,10336,8852,594,502,1692,1013,69,71,76,69
19100064: Ward 64,299,336,654,2115,253,389.61372,651,673,2503,294,33.82524,56,64,300,23,676.74509,1170,1478,8144,3348,149,512,736,121,29,285,539,1196,270,21,17,65,129,45,5,750,2052,4964,1390,106,1488.83429,131.87306,2123.45375,145.83662,247.31595,9.91172,6771.03193,310.53941,273.27035,45,386,915,839,95.57592,550.11235,128,926,1151,964,140.08796,48.65026,10,70,116,138,18.65026,889.81084,175,2174,4512,5270,671.52349,1861,1796,2480,2031,278,199,10136,4681,67,60,78,61
19100065: Ward 65,153,239,237,787,128,2357.44134,4094,4324,12629,1964,17.58495,27,45,158,20,9.37864,13,11,43,6,229,284,163,17,2,4535,4145,2683,190,21,43,53,42,1,1,17,9,21,0,0,629.96963,84.26387,8884.86245,1831.75848,110.18633,19.66033,34.52791,4.90149,229.59451,80,475,370,160,36.54966,4296.98408,1606,9104,5447,1427,380.38767,39.15233,15,71,72,37,10.01023,10.17233,1,26,20,9,5.17233,777,767,11878,13491,137,130,47,36,72,64,66,68
19100066: Ward 66,86,99,134,376,60,2658.59634,4552,4945,12795,1735,21.10194,42,63,122,15,11.7233,15,26,104,4,132,109,87,5,5,6766,3801,1877,161,21,41,42,37,12,0,14,22,43,1,0,273.30066,63.19278,7777.71353,2977.66273,107.32781,22.35574,81.06488,11.06913,111.30769,54,225,193,63,7.42027,5497.77486,1998,10348,4324,868,203.18543,48.68932,14,74,56,36,6.21178,11,10,61,41,17,7,354,402,11407,15278,109,154,99,62,60,55,69,81
19100067: Ward 67,1859,1904,2857,7609,174,3475.91946,5620,5696,14125,953,140.6796,264,415,1108,128,9.37864,60,28,191,49,2965,2808,231,63,7,4262,4149,1810,184,19,331,298,242,34,3,29,42,98,35,8,5491.86613,2145.67333,8523.38931,4376.88523,646.04856,122.84783,160.93362,7.48816,2814.4699,645,5296,2844,398,118.05206,6395.68694,2116,11057,4492,1051,294.63443,292.01858,94,684,572,198,26.01945,48.51699,7,56,70,125,10.38411,6267,8137,13134,16736,1060,994,220,118,70,63,80,72
19100068: Ward 68,162,232,187,617,82,2837.8801,4812,5504,14683,2121,15.24029,30,42,77,8,3.51699,13,16,36,6,219,214,88,6,4,5333,4586,1458,114,15,18,24,10,5,0,16,9,5,0,0,440.92015,114.95243,9072.8938,3376.38801,51.49283,16.07936,22.08389,4.95586,288.89284,69,403,229,72,9.35239,6075.56749,2446,11572,4991,866,251.08146,29.43848,18,69,28,9,1,11.34466,4,25,19,5,1.21178,533,746,12670,17289,76,98,31,43,54,52,42,73
19100069: Ward 69,2716,2954,4726,11042,309,112.98346,185,129,541,72,9.37864,30,24,97,7,683.43441,1704,1336,6860,1806,5056,3775,377,88,16,141,133,104,41,6,4,25,35,10,1,422,1336,3255,1593,123,8755.92439,3912.46872,393.58567,53.01636,75.44094,6.16764,5781.91285,247.73264,3700.07232,915,8044,4790,543,232.93882,190.19774,49,252,192,135,16.18296,28.68932,5,26,48,34,1,1285.57608,165,1674,3311,4165,662.57632,8648,13098,535,506,86,80,8043,4347,64,65,73,65
19100070: Ward 70,93,125,370,1042,94,151.46892,257,399,1430,85,29.4466,50,113,351,9,1145.97544,2266,2329,11726,2426,59,234,287,178,18,192,420,469,258,21,9,48,120,92,12,432,1519,5455,3870,487,768.48628,29.16873,1343.98455,45.18036,272.10286,6.63534,10183.21913,290.84269,154.94648,25,182,267,526,28.62029,391.50121,92,423,457,642,44.83946,50.24576,6,53,120,257,9.63534,1632.36805,246,1746,4444,9384,602.90877,826,898,1153,1170,305,248,12540,7354,59,57,74,77
19100071: Ward 71,534,659,1228,3075,190,325.40582,654,1098,2518,238,9.37864,53,38,205,20,847.24993,1880,1964,9111,2725,474,942,466,92,22,321,545,657,193,19,17,18,64,46,16,461,1638,4775,2605,269,1882.44237,625.28634,1622.73372,222.26146,162.45598,8.64557,7766.72821,293.03649,677.87366,157,1373,1239,479,55.6695,714.97578,150,1091,915,509,62.86929,45.49699,6,40,55,149,2.26615,1333.66679,264,1945,4444,6636,635.63621,2279,3407,2008,2825,188,137,10744,5783,64,68,68,69
19100072: Ward 72,262,369,368,1355,91,1398.56382,2809,3187,10649,1891,31.65291,38,57,194,28,71.51213,137,216,973,243,240,488,300,38,1,2397,2829,3579,533,35,31,46,66,23,2,141,299,418,66,4,1054.6853,231.07481,7721.47353,1367.3634,140.31772,7.48816,762.44945,51.92779,336.22828,57,511,746,414,51.99395,2713.66249,872,6443,5061,2567,350.88726,38.17233,12,88,78,90,2,130.52722,25,512,480,284,107.97023,1147,1298,10140,9794,188,160,1018,623,71,66,69,74
19100073: Ward 73,178,225,326,1199,215,425.41238,847,837,3190,536,28.13592,63,69,264,35,638.40286,1357,1726,8316,3013,89,348,358,133,20,525,637,1395,474,37,24,43,113,58,8,993,2165,4250,1639,145,961.41028,82.05223,2790.4725,174.85786,232.9795,6.11327,6911.88021,311.25616,196.47097,33,343,505,615,70.32346,758.81522,170,1276,1475,1365,153.04377,43.51699,15,57,91,190,13.19178,1066.4943,219,2615,4343,5013,637.9919,1143,999,3201,2634,259,200,9864,5187,63,62,77,61
19100074: Ward 74,1781,2008,3060,8794,195,758.09212,1177,1143,3139,260,11.7233,22,31,161,11,745.91256,1665,1277,7567,1786,3015,3324,316,144,18,1302,955,232,50,14,12,23,34,42,2,382,957,3408,2527,414,6377.02888,2891.30321,1904.42311,872.82224,127.44444,10.02046,6311.51639,219.65986,3142.24693,748,5646,3203,664,96.84948,1761.58493,496,2200,787,181,36.49052,24.23693,7,32,44,84,8.5323,1223.75498,185,1165,2593,6243,460.89039,5889,9948,2567,3911,135,102,8444,4597,64,53,62,68
19100075: Ward 75,1426,1983,2406,5745,134,2645.39842,4590,4371,12721,970,23.27427,40,44,107,10,5.51699,11,2,55,4,3556,1928,403,29,3,3244,4110,3347,157,22,26,44,32,1,0,9,18,12,0,0,3584.1192,1723.68346,8969.70811,2199.01598,84.50554,12.28091,35.31613,7.43379,2171.45424,401,4162,2670,386,99.28191,4222.8022,1266,8968,5746,1299,262.72746,30.9011,12,70,58,14,10,13.51699,0,22,22,5,1,3804,7891,11986,13310,101,123,43,34,61,66,75,87
19100076: Ward 76,894,1458,1637,4639,183,3056.50708,5225,5573,16077,1610,12.89563,27,31,99,13,7.68932,5,25,92,11,786,1027,1633,105,21,5557,5568,1905,81,15,23,40,14,1,0,10,7,1,0,0,3129.58643,654.84056,9556.58604,2764.4702,51.87912,9.91172,17.29114,5.01023,1181.37358,222,1619,2130,1591,124.16843,6039.11034,2180,12158,5732,642,153.73287,24.38411,11,43,46,12,0,5,0,25,14,5,0,3241,5570,14204,17337,83,100,61,80,66,66,75,100
19100077: Ward 77,297,342,1884,4093,296,206.05604,457,738,2439,385,21.75728,35,107,508,40,541.37617,767,2288,9563,1738,267,680,687,266,32,484,653,692,188,14,33,75,175,108,10,478,1607,5181,2523,380,1783.97987,216.99469,1554.85583,250.35025,348.66671,12.06913,8828.39187,286.31843,242.45312,68,386,846,1312,65.68255,506.12666,201,975,825,749,59.41102,24.38411,7,57,121,323,12.54253,593.17113,88,866,2689,8547,362.95024,2506,4407,2017,2208,378,334,7771,7127,60,56,65,58
19100078: Ward 78,228,338,378,1038,78,3623.38146,6157,6095,18785,2142,33.99757,69,64,198,36,8.20631,12,9,60,6,264,337,213,2,1,5482,6108,3836,145,26,72,74,23,6,0,5,12,26,5,0,711.30148,175.19692,12330.40072,2815.67561,133.97133,57.1555,49.06927,2.5323,328.81948,105,635,483,136,34.03853,6301.07217,2137,14180,7743,1303,413.98921,55,25,148,91,15,18.80868,8.17233,1,20,28,21,0,906,1153,17394,19408,208,194,61,34,64,66,84,75
19100079: Ward 79,150,228,253,751,60,3665.65866,5910,6032,16322,1405,11.7233,14,24,70,4,1.17233,4,7,24,6,225,226,74,1,0,6394,5811,1400,52,17,13,26,5,1,0,12,2,2,0,0,439.0071,120.83454,9727.45237,3624.51654,42.17918,8.64557,12.28091,0,262.69177,91,517,265,37,26.78801,6625.24416,2399,13844,5292,440,153.40819,26.94055,4,43,26,3,4.95586,8,2,16,4,3,0,635,807,14472,18863,55,68,21,21,65,57,68,20
19100080: Ward 80,4713,5684,7658,18338,435,1009.8577,1584,1518,3676,211,35.1699,57,62,156,16,30.30825,41,55,281,61,12072,5536,465,40,16,1929,1078,369,21,2,57,38,21,10,0,50,85,115,17,5,10544.45909,7368.68589,2469.09725,756.23046,98.5735,24.94241,212.13896,25.71923,7547.43107,1974,14616,5724,801,194.90592,2273.16357,591,2454,1024,183,63.64664,62.03437,24,93,68,19,3.21178,35.32466,18,156,149,53,18.11327,12037,24791,3502,4497,157,170,299,169,61,69,72,82
19100081: Ward 81,76,122,126,448,46,2829.44776,4943,5326,16142,1757,15.24029,16,25,74,5,1.17233,0,5,14,4,97,124,69,3,0,4327,5582,2873,113,22,21,27,15,1,0,2,5,2,0,0,281.11593,56.47501,10647.94262,2327.93255,54.6232,8.69994,9.85735,3.74408,127.22045,46,291,226,18,11.42003,4948.83327,1765,12444,7222,836,221.89003,16.17233,11,44,35,7,3.63534,0,1,9,11,0,1,396,422,14906,16092,66,69,16,7,65,64,89,89
19100082: Ward 82,131,186,213,621,17,4718.0642,7240,7616,19025,1144,19.92961,16,34,73,0,3.51699,6,11,31,2,294,244,36,0,0,11069,6509,1028,41,4,34,32,2,0,0,8,15,7,0,0,397.25573,138.03364,9585.67892,6006.14121,49.72171,28.36027,20.92648,4.84712,223.66792,47,439,249,36,13.19823,8396.40318,3004,16797,5407,208,172.37381,22.55644,9,41,38,6,4.68971,6,4,17,20,1,2.26615,499,669,16299,23444,59,84,23,30,62,55,75,69
19100083: Ward 83,1673,1752,2353,6265,162,105.80194,137,153,553,48,4.68932,9,8,47,7,468.72569,888,1327,5739,2314,3590,1935,266,21,8,157,158,114,15,2,3,6,17,4,0,558,1885,3002,665,62,4281.48165,1829.91143,375.86668,108.3817,27.67056,7.22201,4612.96023,340.95946,2248.30105,504,4464,2175,495,116.92702,177.82561,46,279,180,110,14.9148,5,5,10,19,23,0,693.32831,144,1735,3383,3305,475.03918,4792,7412,484,513,46,29,7330,3407,73,55,65,66
19100084: Ward 84,232,317,413,1559,430,440.42376,703,792,2264,286,17.41262,32,29,108,20,841.88304,1662,1607,8718,4443,327,400,260,65,6,675,730,331,69,12,6,25,21,12,2,676,2199,4659,1931,280,891.78469,137.73985,1650.48532,213.52828,64.87342,4.90149,7097.55912,313.78094,356.50615,67,473,511,386,47.1128,867.12759,287,1449,722,316,46.72337,33.35489,1,34,41,46,2.42356,1247.91051,222,1888,3945,6629,753.5287,1636,1316,2065,2420,121,85,12199,5072,65,63,79,68
19100085: Ward 85,3160,3543,4593,11569,265,305.35962,418,421,1319,87,18.75728,19,26,89,7,324.35677,559,708,3527,1559,7114,3797,568,54,24,414,437,360,30,6,12,35,23,5,0,389,1310,1867,272,32,8444.63448,3539.53055,1069.57571,194.7344,71.91434,14.92195,2866.06135,197.53329,4354.11514,1178,8275,4359,768,174.10016,517.25028,136,641,589,232,36.28072,20.35489,6,22,48,27,6.26615,451.63767,89,1137,2472,1575,273.88671,8509,14622,1202,1348,95,66,4655,2022,70,58,72,61
19100086: Ward 86,3414,4163,5323,12944,305,1098.2042,2026,2037,5509,707,21.10194,46,38,128,9,36.1699,78,84,433,187,8169,3954,432,22,7,1848,1619,667,44,7,23,32,23,5,2,42,119,256,75,2,8028.36121,5092.58535,3203.47195,993.90378,81.66295,17.29684,336.39296,24.29567,5496.20945,1220,9801,4556,507,168.09701,2475.83411,722,3963,2084,385,266.98807,45.28622,16,51,57,28,8.63534,62.24576,8,97,250,311,33.99945,9180,16969,4858,6518,112,130,583,236,68,62,73,67
19100087: Ward 87,3589,4670,6365,14307,457,10.84158,26,24,57,0,2.34466,2,6,11,0,2.34466,4,1,11,4,10282,3730,423,93,10,47,9,4,0,0,9,1,0,0,0,5,1,7,0,0,7936.32724,6204.61402,34.30584,17.71899,4.95586,3.79845,4.84712,3.74408,6090.95664,1421,11777,4661,547,280.07251,39.35745,6,47,7,1,1,6.26615,4,9,1,0,0,4,2,7,2,4,0,8291,21098,35,83,10,12,12,10,61,59,51,43
19100088: Ward 88,2973,3766,4714,11313,280,2013.05534,3054,3403,8145,448,31.48058,33,49,76,6,7.03398,6,25,43,0,5982,3105,552,47,7,3605,2222,669,58,2,59,22,7,1,0,22,1,4,0,1,6686.4416,3602.86448,4730.08028,2192.60805,58.83498,12.49839,21.08959,5.01023,4863.28888,996,7966,4272,640,157.56205,3727.94275,1114,6655,2490,238,92.26787,41.68971,13,70,25,5,3.5323,11.35489,2,15,12,1,1,8111,14934,7334,9729,66,129,42,39,63,60,70,74
19100089: Ward 89,3397,4218,5784,13756,254,9.63696,14,12,24,5,0,4,9,20,0,1.17233,1,3,7,0,8905,3932,155,27,7,18,4,4,1,0,7,15,0,0,0,4,2,0,0,0,7701.57539,5290.93125,10.64664,8.28072,19.93218,2.47793,6.22201,1.26615,5137.26392,1245,11351,4955,395,155.9974,19.17449,1,18,17,0,0,9.76923,0,17,5,0,0,1,0,5,2,1,1,8300,19110,29,34,16,16,2,10,62,67,100,50
19100090: Ward 90,3304,4378,6248,13828,518,10.84158,15,18,56,2,0,1,2,16,1,0,8,7,12,1,10137,3808,307,35,0,18,8,6,2,0,11,5,1,0,0,7,5,2,0,1,7667.78279,5872.74349,33.12288,18.90195,10.02046,3.63534,8.64557,1.21178,5662.74809,1305,11153,5296,562,209.7484,23.89786,5,40,8,9,3.18296,4.5323,0,6,4,2,1,5.21178,4,11,5,4,0,8012,20263,47,54,4,17,11,18,58,52,67,67
