Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100021,1,1,11,5,3,3,10,23,56,64,1,1,2,4,4,1,2,2,5,8,1,1,1,2,2,2,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,4,5,1,2,2,4,4,6,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,4,2,3,3,85,7,9
19100022,1,1,1,2,2,4,14,29,65,34,2,3,3,7,4,1,1,1,2,2,1,1,1,1,1,2,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,3,89,10,3
19100023,1,1,2,3,4,2,5,12,32,34,1,1,2,3,3,2,5,15,25,49,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,4,3,3,1,1,1,1,1,1,1,2,2,3,3,3,1,1,1,2,1,1,1,2,1,3,2,3,5,44,4,52
19100024,1,2,3,6,7,4,11,24,59,44,1,2,2,4,4,1,1,1,2,2,1,1,2,2,1,2,3,3,3,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,2,3,3,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,10,83,9,3
19100025,1,1,1,2,3,3,9,19,46,44,3,7,11,25,24,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,3,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,3,4,2,4,1,2,2,2,3,4,1,1,1,1,1,1,1,1,2,2,1,2,1,1,2,2,2,3,2,62,38,2
19100026,1,1,1,2,3,2,3,5,13,7,2,2,3,7,3,2,9,17,39,48,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,4,4,2,3,1,1,1,1,1,1,2,2,2,2,2,2,3,20,12,69
19100027,1,1,1,2,2,2,3,5,14,13,1,2,3,5,3,3,10,20,45,52,1,1,2,1,1,1,1,2,2,2,1,1,1,2,1,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,4,4,2,3,1,1,1,1,1,1,2,3,2,2,2,2,3,21,8,73
19100028,1,1,1,2,4,4,13,28,67,77,1,2,2,5,4,1,1,1,2,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,4,5,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,3,93,5,3
19100029,1,1,2,2,6,4,14,30,71,74,1,2,2,4,3,1,1,2,2,3,1,1,1,1,1,2,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,3,3,2,4,3,92,5,3
19100030,1,1,1,2,4,3,9,19,50,57,1,2,2,4,2,2,5,8,18,18,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,2,2,3,4,2,4,1,1,1,1,1,2,1,2,3,2,1,2,1,1,2,2,1,1,1,2,3,3,2,3,4,71,4,24
