Ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMAR,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMAR,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMAR,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMAR,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE
19100026,83,97,210,552,36,753,1306,1395,4161,211,74,144,125,454,15,862,2072,2865,9773,2225,165,294,99,1,3,1076,2312,609,21,3,96,226,78,1,3,1771,5598,1766,123,24,535,67,3777,351,346,27,7900,545,94,30,232,319,194,83,1151,305,2462,2129,731,753,120,37,196,278,75,74,1658,352,6800,5993,1761,862,354,613,3620,4217,420,397,10600,7190,66,71,84,70
19100027,111,194,218,603,24,883,1806,1812,4866,424,61,118,115,280,12,1033,2651,3605,12151,2576,197,168,153,3,1,1491,1891,648,24,9,33,114,93,6,1,1873,6613,2748,153,48,432,160,3964,852,249,30,9613,690,216,62,267,254,177,111,2005,617,3199,1924,670,883,95,23,162,153,66,61,2053,416,8062,7325,2594,1033,416,746,4136,5617,292,286,13170,8880,66,67,82,72
19100028,69,107,158,308,27,2295,5254,5274,11863,1348,19,44,40,129,12,3,1,15,27,9,159,63,1,1,1,5424,3464,286,18,12,36,54,9,1,1,9,9,1,1,1,226,99,7460,3477,63,39,27,3,145,59,248,100,21,69,6393,2595,9861,3277,443,2295,47,23,79,43,15,19,1,3,36,9,1,3,243,409,9694,16369,115,133,27,15,63,56,56,50
19100029,67,128,129,280,46,2152,4971,4908,10779,1123,11,31,27,69,3,3,1,12,24,1,129,69,1,1,1,4604,2998,114,18,12,27,15,1,1,1,3,6,3,1,1,174,66,6483,3794,54,21,21,3,149,74,263,67,3,67,6301,2508,9049,2434,169,2152,25,12,57,24,3,11,1,1,12,12,12,3,254,405,8790,15134,51,76,33,9,70,56,50,67
19100030,62,117,196,524,30,1996,4320,4188,10189,1143,34,50,46,114,3,287,732,793,2592,467,219,201,15,1,1,4268,3612,276,24,3,24,72,1,1,1,1002,1070,132,12,3,401,138,6940,2635,94,15,1741,279,158,47,386,192,42,62,5395,1960,8166,2923,371,1996,48,13,87,43,18,34,630,195,2673,774,115,287,377,546,8784,13102,103,162,2618,2194,76,62,67,66
19100031,150,341,360,897,61,1885,4241,4438,9297,1058,35,53,60,114,9,4,3,3,37,6,254,397,135,6,1,4305,2226,308,24,1,39,36,3,1,1,3,23,3,1,1,723,133,5180,2817,78,24,28,3,289,79,459,474,251,150,5870,2061,7316,2363,338,1885,70,33,75,39,1,35,1,1,9,25,9,4,696,1179,7737,13129,111,177,9,19,62,53,61,1
19100032,47,91,102,296,39,2737,5766,5151,12151,1317,17,43,49,126,3,3,1,3,6,1,51,126,42,1,3,5370,2508,135,12,21,39,30,3,1,1,3,3,1,1,1,196,66,6314,4352,69,30,6,1,112,38,172,97,79,47,8110,3017,9584,2085,181,2737,72,21,82,24,9,17,1,3,3,1,3,3,223,316,10171,16950,141,125,9,6,65,57,77,100
19100033,6017,9670,12641,24714,566,710,1604,1286,3072,146,13,29,33,63,1,1,3,6,6,1,9419,2734,534,9,18,1041,693,138,1,1,36,18,9,1,1,3,6,1,1,1,11149,15586,1649,1300,51,24,6,3,13883,3825,16977,6339,1797,6017,2154,592,1956,663,189,710,29,6,54,18,12,13,3,3,3,6,1,1,16586,37072,2768,4008,57,68,6,15,61,69,73,100
19100034,3082,5192,6580,12291,292,120,186,117,399,9,1,1,1,1,1,1,1,3,3,6,5994,852,39,3,3,222,39,1,3,1,1,1,1,1,1,3,3,1,1,1,6030,7816,204,179,1,1,3,1,7270,2111,9182,3031,631,3082,248,94,252,51,3,120,1,1,1,1,1,1,1,1,12,1,1,1,8298,19115,356,504,1,1,6,3,58,62,1,1
19100035,2802,4536,6069,12393,239,43,76,101,230,3,1,3,3,1,1,1,1,3,3,1,5739,959,60,12,13,60,30,1,1,1,1,1,1,1,1,1,3,1,1,1,5987,7185,69,132,1,1,3,3,6111,1823,8860,3188,501,2802,145,63,120,18,3,43,6,1,1,1,1,1,1,1,3,3,1,1,8059,17990,200,236,1,6,6,3,60,61,1,100
19100036,2649,5281,6573,11748,429,14,31,51,106,3,1,1,1,1,1,1,1,1,1,1,5593,993,21,9,9,27,15,1,1,1,1,1,1,1,1,1,1,1,1,1,5659,6029,48,48,1,1,1,1,7700,2013,8131,2921,613,2649,54,20,66,40,1,14,1,1,1,1,1,1,1,1,1,1,1,1,7671,18998,94,120,1,1,1,1,58,53,1,1
19100037,1519,2947,3934,7923,544,11,12,9,48,15,1,1,6,1,1,1,1,1,3,1,2993,658,21,3,6,15,3,3,1,1,1,3,1,1,1,1,1,1,1,1,2972,4538,18,24,1,1,1,1,4194,1291,5397,1664,387,1519,21,9,27,1,1,11,3,1,1,3,1,1,1,1,3,1,1,1,4347,12514,63,37,3,1,1,1,52,64,1,1
19100038,1970,4346,5731,9962,984,12,21,27,57,12,1,1,1,1,1,1,3,3,9,1,4193,1308,48,42,9,24,6,1,1,1,1,1,1,1,1,6,1,1,1,1,4615,5164,30,18,1,1,6,6,5222,1587,7923,3458,827,1970,24,12,36,18,1,12,1,1,1,1,1,1,3,1,6,6,1,1,5259,17742,36,86,1,1,3,15,47,8,1,100
19100039,1820,3662,4475,8263,287,6,18,21,21,1,1,1,1,1,1,1,1,1,1,9,4095,636,58,6,1,9,3,1,1,1,3,1,1,1,1,1,1,1,1,3,3832,4972,12,21,1,1,1,1,4647,1331,5912,1691,600,1820,21,6,27,1,1,6,1,1,1,1,1,1,1,1,3,6,1,1,4929,13584,21,33,3,1,12,1,55,1,1,1
19100040,2114,3745,4879,11493,741,16,30,51,129,9,1,1,1,3,1,1,1,1,3,1,5298,1387,63,3,12,69,18,1,1,1,1,1,1,1,1,1,1,1,1,1,4936,6458,48,69,1,1,1,3,4936,1591,8074,3428,595,2114,58,15,99,21,6,16,3,1,1,1,1,1,3,1,1,1,1,1,6447,16525,58,176,3,1,6,1,59,38,100,1
19100041,1404,3268,3819,8471,975,19,32,52,108,18,6,1,1,6,1,1,1,1,3,3,3284,1564,78,3,1,75,33,1,1,1,1,1,1,1,1,1,3,1,1,1,4102,3673,51,40,1,1,3,1,3724,1189,6910,2941,1043,1404,56,18,100,12,15,19,3,1,1,1,1,6,1,1,1,6,1,1,3849,14087,66,176,1,3,6,1,44,20,1,100
19100042,1177,2757,3415,7674,1141,13,56,51,138,6,1,1,1,1,1,1,1,1,1,1,3016,1905,140,9,43,54,18,1,1,1,1,1,1,1,1,1,1,3,1,1,4419,3451,63,72,1,1,1,1,3204,977,5778,2928,951,1177,91,30,79,30,9,13,1,1,1,1,1,1,1,1,1,1,1,1,3556,12629,54,190,1,1,1,3,42,46,1,1
19100043,1859,2741,4354,8463,220,895,1821,1622,4189,486,3,16,6,18,3,1,3,1,1,1,3679,782,111,6,24,2085,1065,57,6,1,12,3,1,1,1,1,1,3,1,1,4017,5689,2530,898,9,6,1,1,4454,1294,5866,1831,442,1859,2022,755,3605,1097,155,895,19,3,12,3,3,3,3,1,1,1,1,1,5819,11819,3849,5161,21,24,6,3,67,58,100,100
19100044,765,1449,1932,3935,318,1161,2657,2160,5532,779,6,3,3,9,1,1,3,17,93,6,1634,669,33,3,3,2612,1404,51,1,1,1,9,1,1,1,12,31,54,9,1,2012,1987,3141,1605,3,3,77,12,1648,565,3344,1162,288,765,3314,1344,4498,1092,212,1161,3,1,6,3,1,6,6,1,18,32,60,1,2198,6166,4831,7487,12,30,51,53,57,55,40,68
19100045,60,127,102,316,33,3348,7063,6198,13750,1251,5,12,12,39,9,1,6,12,18,9,165,39,1,1,3,7467,2072,135,12,1,18,12,3,1,1,9,6,1,6,1,184,73,7364,4867,24,9,3,9,160,70,229,67,9,60,9182,3594,11255,2231,255,3348,24,3,15,12,12,5,15,6,15,3,3,1,217,344,11443,20227,45,46,21,21,51,44,66,100
19100046,53,112,140,321,30,1884,4271,4318,11966,2032,49,122,111,305,36,7,6,15,51,9,126,90,18,1,1,4209,4956,915,33,15,48,153,54,6,1,15,30,3,3,1,225,74,7883,1984,198,31,30,1,131,47,245,138,24,53,4570,1951,9289,4469,1323,1884,114,22,176,168,70,49,9,3,36,24,6,7,288,346,11535,12960,315,337,39,31,59,68,81,88
19100047,40,76,81,238,36,3614,7735,6653,16203,1823,27,71,65,174,18,8,12,15,99,24,99,66,27,1,1,8024,3457,390,18,20,51,60,27,1,3,33,54,9,1,1,156,79,9229,5045,123,18,66,21,109,32,160,60,30,40,9082,3673,13542,3695,438,3614,57,29,98,84,48,27,6,3,66,45,24,8,214,274,14411,21642,136,194,66,73,69,56,74,64
19100048,63,136,159,473,27,1396,3240,3719,10104,2049,517,1397,1734,4530,643,3,12,27,105,21,262,102,15,1,1,3021,4743,1087,33,12,972,1850,668,42,3,48,36,18,3,1,380,77,7570,1225,3097,320,84,9,175,50,280,157,81,63,3228,1341,7508,4586,1768,1396,1394,453,2548,2392,1113,517,9,3,66,51,33,3,316,513,10082,10413,4388,4483,96,66,59,66,75,80
19100049,86,180,242,423,49,2558,5840,5620,14727,2820,25,40,43,132,27,6,9,24,48,3,213,99,9,1,1,5947,5729,478,42,21,36,54,3,1,1,18,12,6,9,1,241,130,9830,3044,87,18,45,3,198,68,359,164,56,86,6740,2974,13234,4170,656,2558,53,12,73,63,33,25,15,1,30,24,15,6,306,678,13590,18001,123,137,39,21,51,57,68,100
19100050,40,75,74,192,27,2508,5600,4709,12660,1877,1,12,9,12,3,3,6,3,9,1,102,75,1,1,1,5390,3837,93,3,12,12,9,1,1,1,3,1,1,1,1,105,33,7597,3374,12,3,12,1,100,57,147,35,6,40,7241,3126,10501,2611,130,2508,9,3,15,6,1,1,9,3,1,3,3,3,197,235,11580,15760,6,33,6,6,63,59,100,100
19100051,1850,3394,5267,10861,796,5,21,21,42,1,1,1,1,1,1,1,1,1,1,1,5284,1977,156,13,6,9,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6142,4889,18,21,1,1,1,1,4381,1400,7986,4006,996,1850,24,9,42,3,1,5,1,1,1,1,1,1,1,1,1,1,1,1,6166,16004,39,45,1,1,3,1,61,75,1,100
19100052,2301,3452,6021,10778,362,6,6,12,24,3,1,1,3,1,1,1,1,3,1,6,5528,1214,168,21,12,12,3,3,1,1,1,1,1,1,1,3,1,1,1,1,5873,6651,6,15,3,1,3,1,5393,1592,7770,3068,781,2301,12,3,18,6,1,6,1,1,3,1,1,1,3,1,1,1,6,1,6965,15974,12,21,1,1,4,3,62,25,1,1
19100053,497,1000,1191,2830,229,437,1049,1013,2855,422,45,78,78,248,30,446,1336,1559,5483,2413,1328,549,213,18,1,838,1342,542,57,15,18,78,96,15,1,689,2120,2053,375,81,1699,1227,2340,342,209,18,4518,193,1100,317,1976,1074,583,497,878,287,1970,1282,692,437,61,6,115,97,142,45,949,197,2176,3519,3676,446,1398,4323,2704,3107,235,200,7131,4140,50,70,78,65
19100054,115,204,276,758,55,1500,3421,3653,9117,1533,53,76,64,231,24,288,769,1115,3893,1003,224,293,162,15,12,3957,3487,584,45,12,39,105,48,6,1,538,2225,798,30,3,677,90,6538,1718,162,15,3000,260,199,61,362,341,292,115,3951,1575,7195,3326,844,1500,67,11,116,115,63,53,616,127,2562,2617,686,288,569,835,8326,10926,218,239,4330,2704,63,64,79,74
19100055,226,305,486,1133,51,1000,2194,2060,6037,692,26,59,63,212,21,413,1012,1116,4555,1617,473,319,87,3,1,1972,2629,546,24,3,39,156,27,1,1,1462,1973,544,60,132,851,306,4555,971,188,3,3097,447,303,139,615,490,243,226,2279,736,4588,2116,717,1000,58,12,103,111,45,26,928,292,3604,2041,1044,413,781,1409,5503,6507,190,209,5209,3472,73,65,88,59
19100056,184,287,1143,1602,72,942,2149,2512,6836,1023,92,201,290,691,98,363,412,2015,5184,1013,657,575,171,15,6,2417,2864,702,42,6,149,231,150,24,3,986,2246,1884,232,42,1263,306,5002,879,490,49,4626,219,353,83,677,1147,730,184,2291,815,4800,2912,1143,942,219,46,332,355,289,92,494,144,1460,2942,3399,363,930,2370,6174,7249,668,722,4266,4727,60,59,63,57
19100057,118,213,615,1150,111,319,685,1031,2394,354,31,76,86,278,18,468,910,2205,7496,1514,428,433,183,6,3,749,1078,288,54,3,39,142,60,12,6,813,2914,3194,590,156,978,200,1894,367,233,21,6944,237,241,81,564,587,526,118,748,281,1579,980,725,319,57,22,109,114,132,31,687,151,1472,3357,6203,468,755,1493,2159,2586,244,295,6351,6197,52,61,59,57
19100058,125,203,540,1626,91,122,166,333,1517,149,20,39,88,236,12,590,889,2027,9510,3940,894,519,153,36,12,701,623,138,24,9,33,69,63,12,1,1097,3577,3489,967,219,1478,203,1316,123,202,9,7919,305,269,91,770,686,501,125,333,146,782,468,318,122,23,19,83,136,111,20,710,138,2482,6013,6714,590,929,1643,1029,1293,205,185,10916,6018,44,37,74,58
