ward,B0_TO_4,B5_TO_14,B15_TO_24,B25_TO_64,B65_OLDER,C0_TO_4,C5_TO_14,C15_TO_24,C25_TO_64,C65_OLDER,I_A0_TO_4,I_A5_TO_14,I_A15_TO_24,I_A25_TO_64,I_A65_OLDER,W0_TO_4,W5_TO_14,W15_TO_24,W25_TO_64,W65_OLDER,BLOWER_CLASS,BWORKING_CLASS,BLOWER_MIDDLE_CLASS,BUPPER_MIDDLE_CLASS,BUPPER_CLASS,CLOWER_CLASS,CWORKING_CLASS,CLOWER_MIDDLE_CLASS,CUPPER_MIDDLE_CLASS,CUPPER_CLASS,I_ALOWER_CLASS,I_AWORKING_CLASS,I_ALOWER_MIDDLE_CLASS,I_AUPPER_MIDDLE_CLASS,I_AUPPER_CLASS,WLOWER_CLASS,WWORKING_CLASS,WLOWER_MIDDLE_CLASS,WUPPER_MIDDLE_CLASS,WUPPER_CLASS,BEMPLOYED,BUNEMPLOYED,CEMPLOYED,CUNEMPLOYED,I_AEMPLOYED,I_AUNEMPLOYED,WEMPLOYED,WUNEMPLOYED,BSOME_PRIMARY,BCOMPLETED_PRIMARY,BSOME_SECONDARY,BMATRIC,BHIGHER,BOTHER,CSOME_PRIMARY,CCOMPLETED_PRIMARY,CSOME_SECONDARY,CMATRIC,CHIGHER,COTHER,I_ASOME_PRIMARY,I_ACOMPLETED_PRIMARY,I_ASOME_SECONDARY,I_AMATRIC,I_AHIGHER,I_AOTHER,WSOME_PRIMARY,WCOMPLETED_PRIMARY,WSOME_SECONDARY,WMATRIC,WHIGHER,WOTHER,BFAMILY,BSINGLE,CFAMILY,CSINGLE,I_AFAMILY,I_ASINGLE,WFAMILY,WSINGLE,B_PERCENT_MALE,C_PERCENT_MALE,I_A_PERCENT_MALE,W_PERCENT_MALE,B_HOUSEHOLD,C_HOUSEHOLD,I_A_HOUSEHOLD,W_HOUSEHOLD
19100021,2,3,4,11,5,4,1,2,5,4,1,2,2,4,2,3,12,28,50,80,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,3,3,5,4,1,1,1,1,1,1,3,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,3,3,4,7,5,1,1,1,1,1,1,2,3,2,2,2,3,4,10,7,83
19100022,5,14,25,63,31,1,11,20,57,69,1,2,2,4,3,1,1,1,2,2,1,1,1,1,1,1,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,6,89,6,2
19100023,5,14,26,64,50,1,2,2,6,3,2,2,2,7,3,3,10,18,46,47,1,1,2,3,4,1,1,1,2,1,1,1,1,2,2,2,2,3,4,4,1,1,1,1,1,1,2,2,1,1,1,1,2,3,1,1,1,1,2,2,1,1,1,1,2,3,2,3,3,4,5,6,1,1,1,1,1,1,2,2,2,2,2,2,6,10,12,76
19100024,5,17,29,71,59,1,14,24,65,68,1,2,1,2,2,1,1,1,2,2,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,3,2,3,4,95,3,3
19100025,5,17,28,66,106,1,11,19,48,47,2,5,8,19,20,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,3,1,2,1,1,2,2,2,2,2,72,28,2
19100026,5,17,30,73,138,1,8,14,41,44,2,2,4,8,3,2,4,8,16,24,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,2,3,2,2,2,3,3,4,1,1,1,1,1,2,1,2,3,2,1,2,1,1,2,2,1,1,1,1,2,2,2,3,9,61,11,23
19100027,6,20,31,88,317,1,4,6,21,14,2,4,4,11,7,2,5,14,27,48,1,1,2,2,2,1,1,2,3,3,1,1,2,2,1,2,3,2,1,2,1,1,1,1,1,1,2,2,1,1,1,2,3,4,1,1,1,2,3,4,1,1,1,2,2,2,1,2,4,3,2,4,1,1,1,1,1,1,1,2,2,3,2,3,10,34,17,42
19100028,5,13,26,61,77,1,14,24,65,65,1,2,2,3,2,1,1,1,2,2,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,4,2,95,4,2
19100029,5,15,27,74,114,1,15,25,65,49,1,1,1,2,2,1,1,1,2,2,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,3,4,4,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,2,2,2,3,2,97,3,2
19100030,5,18,27,86,312,1,12,20,55,58,1,2,2,2,3,1,3,5,9,10,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,3,3,4,2,3,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,3,1,1,1,1,2,2,2,3,3,86,4,10
